,maker_num,model_num,detail_num,cost,exchange
161,1,15,39,558369,"Rear bumper:coating,exchange"
162,97,150,152,257469,"Rear bumper:coating,exchange"
163,97,155,155,325698,"Front bumper:exchange,coating"
164,1,15,39,210479,"Bumper:coating,exchange"
165,1,27,27,462719,"Bumper:coating,exchange"
166,97,118,123,319428,"Rear bumper:coating,exchange"
167,71,75,77,562118,"Rear bumper:coating,exchange"
168,1,20,21,473409,"Bumper:coating,exchange"
169,71,75,75,132675,Bumper:exchange
170,97,97,97,377378,"Front bumper:exchange,coating"
171,97,150,151,259119,"Rear bumper:coating,exchange"
172,1,15,39,263719,"Bumper:coating,exchange"
173,1,8,34,433068,"Front bumper:exchange,coating"
174,97,118,121,202909,"Rear bumper:coating,exchange"
175,1,8,34,372308,"Rear bumper:coating,exchange"
176,1,13,42,309838,"Rear bumper:coating,exchange"
177,1,15,39,255129,"Rear bumper:coating,exchange"
178,1,30,30,312028,"Rear bumper:coating,exchange"
179,97,170,170,323439,"Bumper:coating,exchange"
180,97,118,119,614539,"Rear bumper:coating,exchange"
181,97,144,147,322929,"Rear bumper:coating,exchange"
182,1,20,20,603540,"Rear bumper:coating,exchange"
183,1,15,39,609149,"Rear bumper:coating,exchange"
184,97,97,97,453144,"Front bumper:exchange,coating"
185,1,20,21,391089,"Bumper:coating,exchange"
186,97,144,147,374769,"Bumper:coating,exchange"
187,1,15,40,310742,"Rear bumper:coating,exchange"
188,1,15,39,582509,"Bumper:coating,exchange"
189,97,118,123,339892,"Rear bumper:coating,exchange"
190,1,14,38,322329,"Rear bumper:coating,exchange"
191,97,156,156,331899,"Rear bumper:coating,exchange"
192,1,10,10,393048,"Rear bumper:coating,exchange"
193,97,105,128,603769,"Bumper:coating,exchange"
194,71,75,77,291992,"Front bumper:exchange,coating"
195,71,71,74,594088,"Rear bumper:coating,exchange"
196,97,105,128,422679,"Rear bumper:coating,exchange"
197,97,144,148,780069,"Rear bumper:coating,exchange"
198,97,144,147,491919,"Bumper:coating,exchange"
199,97,170,170,325519,"Rear bumper:coating,exchange"
200,97,131,160,333278,"Rear bumper:coating,exchange"
201,1,30,30,372959,Front bumper:exchange;Bumper:coating
202,97,131,160,358953,"Rear bumper:coating,exchange"
203,1,10,12,377089,"Rear bumper:coating,exchange"
204,71,80,80,95910,Front bumper:exchange
205,1,15,39,304209,"Bumper:coating,exchange"
206,1,15,40,752528,"Rear bumper:coating,exchange"
207,97,150,152,337559,"Bumper:coating,exchange"
208,1,22,22,189169,"Rear bumper:coating,exchange"
209,97,150,152,4650,Side mirror:exchange
210,1,27,27,312179,"Bumper:coating,exchange"
211,1,1,2,350999,"Bumper:coating,exchange"
212,97,150,152,1012639,"Bumper:coating,exchange"
213,97,150,152,203409,"Rear bumper:coating,exchange"
214,1,14,37,285829,"Bumper:coating,exchange"
215,97,105,128,354729,"Rear bumper:coating,exchange"
216,1,18,49,228068,"Rear bumper:coating,exchange"
217,97,166,167,731349,"Rear bumper:coating,exchange;Bumper:coating"
218,97,137,139,435519,"Rear bumper:coating,exchange"
219,1,13,42,98600,Wheel:exchange
220,97,150,152,320869,"Bumper:coating,exchange"
221,1,15,39,376509,"Rear bumper:coating,exchange"
222,1,1,2,436619,"Bumper:coating,exchange"
223,1,15,39,493148,"Front bumper:exchange,coating"
224,1,14,35,168188,"Front bumper:exchange,coating"
225,1,15,39,347628,"Front bumper:exchange,coating"
226,97,114,114,261588,"Rear bumper:coating,exchange"
227,1,1,1,352988,"Rear bumper:coating,exchange"
228,1,15,39,771858,"Rear bumper:coating,exchange"
229,1,30,30,317448,"Rear bumper:coating,exchange"
230,1,30,30,257018,"Front bumper:exchange,coating"
231,1,14,35,201048,"Rear bumper:coating,exchange"
232,1,15,39,255228,"Rear bumper:coating,exchange"
233,1,20,20,333661,"Rear bumper:repair,coating,exchange"
234,1,13,42,626468,"Rear bumper:coating,exchange;Bumper:coating"
235,1,17,46,671438,"Rear bumper:coating,exchange"
236,1,15,39,417428,"Front bumper:exchange,coating"
237,1,8,34,378028,"Rear bumper:coating,exchange"
238,1,1,1,316108,"Front bumper:exchange,coating"
239,1,25,26,854578,"Rear bumper:coating,exchange"
240,1,13,42,365978,"Rear bumper:coating,exchange"
241,1,13,42,398588,"Rear bumper:coating,exchange"
242,1,1,1,313978,"Rear bumper:coating,exchange"
243,1,14,38,229168,"Rear bumper:coating,exchange"
244,1,4,4,345788,"Rear bumper:coating,exchange"
245,1,13,42,436358,"Rear bumper:coating,exchange"
246,1,4,6,322828,"Rear bumper:coating,exchange"
247,1,15,39,553539,"Bumper:coating,exchange"
248,1,13,42,347738,"Front bumper:exchange,coating"
249,1,22,23,632158,"Rear bumper:coating,exchange"
250,1,13,42,650848,"Rear bumper:coating,exchange"
251,1,1,2,445699,Bumper:exchange
252,1,15,39,406919,"Bumper:coating,exchange"
253,1,30,30,473308,"Rear bumper:coating,exchange"
254,1,4,5,315608,"Front bumper:exchange,coating"
255,1,13,42,442448,"Rear bumper:coating,exchange"
256,1,20,20,911508,"Front bumper:exchange,coating"
257,1,14,38,215428,"Front bumper:exchange,coating"
258,1,17,43,290948,"Rear bumper:coating,exchange"
259,1,15,39,673639,"Rear bumper:coating,exchange"
260,1,8,8,346448,"Rear bumper:coating,exchange"
261,1,4,4,266918,"Front bumper:exchange,coating"
262,1,4,6,347348,"Front bumper:exchange,coating"
263,1,28,28,414119,"Bumper:coating,exchange"
264,1,15,39,340599,"Bumper:coating,exchange"
265,1,13,13,293948,"Rear bumper:coating,exchange"
266,1,1,2,566399,"Bumper:coating,exchange"
267,1,1,1,317228,"Front bumper:exchange,coating"
268,1,30,30,54940,Wheel:exchange;Wheel:exchange
269,1,4,6,303068,"Rear bumper:coating,exchange"
270,1,15,40,325766,"Front bumper:exchange,coating"
271,1,1,3,269453,"Front bumper:exchange,coating"
272,1,14,37,298929,"Rear bumper:coating,exchange"
