,maker,model,detail,category_id,cnt,cost_total,repair,exchange,repaired
1794,기아,쏘렌토,올뉴쏘렌토,as-0048074,27466.0,475039.0,"Bumper:coating,repair",,"Bumper:coating,repair"
1795,기아,쏘렌토,올뉴쏘렌토,as-0049786,28602.0,300000.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1796,기아,쏘렌토,올뉴쏘렌토,as-0052179,30039.0,656319.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1797,기아,쏘렌토,올뉴쏘렌토,as-0052254,30080.0,667628.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1798,기아,쏘렌토,올뉴쏘렌토,as-0053314,30704.0,301198.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1799,기아,쏘렌토,올뉴쏘렌토,as-0053563,30825.0,279338.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1800,기아,쏘렌토,올뉴쏘렌토,as-0054062,31090.0,266248.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1801,기아,쏘렌토,올뉴쏘렌토,as-0054142,31140.0,255618.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1802,기아,쏘렌토,올뉴쏘렌토,as-0054362,31279.0,291536.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1803,기아,쏘렌토,올뉴쏘렌토,as-0054992,31635.0,321581.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1804,기아,쏘렌토,올뉴쏘렌토,as-0055553,31958.0,425778.0,Front bumper:coating,,Front bumper:coating
1805,기아,쏘렌토,올뉴쏘렌토,as-0055875,32134.0,335486.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1806,기아,쏘렌토,올뉴쏘렌토,as-0056572,32556.0,299966.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1807,기아,쏘렌토,올뉴쏘렌토,as-0057003,32845.0,25200.0,Wheel:exchange,Wheel:exchange,
1808,기아,쏘렌토,올뉴쏘렌토,as-0057116,32919.0,303786.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1809,기아,쏘렌토,올뉴쏘렌토,as-0057274,33024.0,326951.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1810,기아,쏘렌토,올뉴쏘렌토,as-0057673,33291.0,359086.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1811,기아,쏘렌토,올뉴쏘렌토,as-0057728,33325.0,303786.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1812,기아,쏘렌토,올뉴쏘렌토,as-0057766,33342.0,373638.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1813,기아,쏘렌토,올뉴쏘렌토,as-0057880,33414.0,375416.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1814,기아,쏘렌토,올뉴쏘렌토,as-0058697,33967.0,417550.0,Wheel:exchange,Wheel:exchange,
1815,기아,쏘렌토,올뉴쏘렌토,as-0058931,34134.0,372946.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1816,기아,쏘렌토,올뉴쏘렌토,as-0059838,34757.0,367106.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1817,기아,쏘렌토,올뉴쏘렌토,as-0060143,34964.0,682036.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1818,기아,쏘렌토,올뉴쏘렌토,as-0060514,35206.0,340468.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1819,기아,쏘렌토,올뉴쏘렌토,as-0060913,35476.0,317207.0,"Front bumper:repair;Bumper:coating,exchange","Front bumper:repair;Bumper:coating,exchange",
1820,기아,쏘렌토,올뉴쏘렌토,as-0061221,35680.0,345487.0,"Front bumper:repair;Bumper:coating,exchange","Front bumper:repair;Bumper:coating,exchange",
1821,기아,쏘렌토,올뉴쏘렌토,as-0061309,35741.0,322704.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1822,기아,쏘렌토,올뉴쏘렌토,as-0061797,36035.0,392207.0,"Front bumper:repair;Bumper:coating,exchange","Front bumper:repair;Bumper:coating,exchange",
1823,기아,쏘렌토,올뉴쏘렌토,as-0061942,36112.0,598927.0,Front bumper:repair;Bumper:coating,,Front bumper:repair;Bumper:coating
1824,기아,쏘렌토,올뉴쏘렌토,as-0061955,36119.0,587599.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1825,기아,쏘렌토,올뉴쏘렌토,as-0062234,36281.0,475769.0,"Bumper:coating,repair,exchange","Bumper:coating,repair,exchange",
1826,기아,쏘렌토,올뉴쏘렌토,as-0062304,36321.0,297469.0,Side mirror:exchange,Side mirror:exchange,
1827,기아,쏘렌토,올뉴쏘렌토,as-0062518,36467.0,620909.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1828,기아,쏘렌토,올뉴쏘렌토,as-0062674,36558.0,361947.0,Front bumper:repair;Bumper:coating,,Front bumper:repair;Bumper:coating
1829,기아,쏘렌토,올뉴쏘렌토,as-0063214,36887.0,788629.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1830,기아,쏘렌토,올뉴쏘렌토,as-0063546,37105.0,362747.0,"Front bumper:repair;Bumper:coating,exchange","Front bumper:repair;Bumper:coating,exchange",
1831,기아,쏘렌토,올뉴쏘렌토,as-0063634,37166.0,379987.0,Front bumper:repair;Bumper:coating,,Front bumper:repair;Bumper:coating
1832,기아,쏘렌토,올뉴쏘렌토,as-0063826,37289.0,390589.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1833,기아,쏘렌토,올뉴쏘렌토,as-0063965,37383.0,258069.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1834,기아,쏘렌토,올뉴쏘렌토,as-0064357,37627.0,570609.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1835,기아,쏘렌토,올뉴쏘렌토,as-0065036,38029.0,431947.0,Front bumper:repair;Bumper:coating,,Front bumper:repair;Bumper:coating
1836,기아,쏘렌토,올뉴쏘렌토,as-0065329,38192.0,361947.0,Front bumper:repair;Bumper:coating,,Front bumper:repair;Bumper:coating
1837,기아,쏘렌토,올뉴쏘렌토,as-0065549,38320.0,389427.0,"Front bumper:repair;Bumper:coating,exchange","Front bumper:repair;Bumper:coating,exchange",
1838,기아,쏘렌토,올뉴쏘렌토,as-0065556,38325.0,1157797.0,"Front bumper:repair;Bumper:coating,exchange","Front bumper:repair;Bumper:coating,exchange",
1839,기아,쏘렌토,올뉴쏘렌토,as-0066411,38695.0,254878.0,Front bumper:coating,,Front bumper:coating
1840,기아,쏘렌토,올뉴쏘렌토,as-0067477,39272.0,255049.0,Bumper:coating,,Bumper:coating
1841,기아,쏘렌토,올뉴쏘렌토,as-0068431,39712.0,299549.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1842,기아,쏘렌토,올뉴쏘렌토,as-0069426,40290.0,194839.0,"Bumper:coating,repair,exchange","Bumper:coating,repair,exchange",
1843,기아,쏘렌토,올뉴쏘렌토,as-0069794,40519.0,499209.0,Side mirror:exchange,Side mirror:exchange,
1844,기아,쏘렌토,올뉴쏘렌토,as-0070149,40738.0,423719.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1845,기아,쏘렌토,올뉴쏘렌토,as-0070690,41037.0,185658.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1846,기아,쏘렌토,올뉴쏘렌토,as-0071345,41412.0,248498.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1847,기아,쏘렌토,올뉴쏘렌토,as-0072560,42154.0,331926.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1848,기아,쏘렌토,올뉴쏘렌토,as-0072892,42382.0,307228.0,"Front bumper:sheet_metal,exchange,coating","Front bumper:sheet_metal,exchange,coating",
1849,기아,쏘렌토,올뉴쏘렌토,as-0072953,42418.0,696067.0,"Front bumper:repair;Bumper:coating,exchange","Front bumper:repair;Bumper:coating,exchange",
1850,기아,쏘렌토,올뉴쏘렌토,as-0073053,42479.0,850359.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1851,기아,쏘렌토,올뉴쏘렌토,as-0073137,42540.0,384777.0,Front bumper:repair;Bumper:coating,,Front bumper:repair;Bumper:coating
1852,기아,쏘렌토,올뉴쏘렌토,as-0073510,42785.0,429797.0,Front bumper:repair;Bumper:coating,,Front bumper:repair;Bumper:coating
