category_id,cnt,maker,model,detail,model_detail,cost_wages,cost_repairparts,cost_total,part,repair
as-0078392,45806,현대,쏘나타,LF 쏘나타,2.0 CVVL SMART,362911.0,0,362911,,Front bumper:repair;Bumper:coating
as-0078399,45812,현대,G80,제네시스(14),G330 Modern,661565.0,0,661565,"Front fender,Front bumper",Front bumper:repair;Bumper:coating
as-0078424,45826,현대,싼타페,싼타페DM,디젤 2.0 2WD,389963.0,0,389963,,"Front bumper:repair,coating"
as-0078462,45852,기아,모닝,올뉴모닝(17),럭셔리,538497.0,0,538497,"Bonnet,Front bumper","Front bumper:repair,coating"
as-0078471,45856,현대,아반떼,아반떼AD(16),1.6 GDI 모던,426727.0,0,426727,Trunk lid,Front bumper:repair;Bumper:coating
as-0078547,45911,현대,쏘나타,LF 쏘나타 뉴라이즈,2.0 모던,386239.0,0,386239,,"Front bumper:repair,coating"
as-0078549,45913,현대,그랜저,그랜져IG(17),렌터카,573995.0,0,573995,Front bumper,"Front bumper:repair,coating"
as-0078611,45950,현대,G80,G80(16),3.3 프리미엄 럭셔리,61900.0,0,61900,,Wheel:exchange;Wheel:exchange
as-0078678,45992,현대,투싼,올뉴투싼(15),R2.0 모던,420897.0,0,420897,,"Front bumper:repair,coating"
as-0078773,46059,현대,G80,제네시스(14),G330 Premium,682399.0,0,682399,,"Bumper:coating,exchange"
as-0078780,46065,현대,아반떼,아반떼AD(16),1.6 GDI 모던,426777.0,0,426777,Front bumper,Front bumper:repair;Bumper:coating
as-0078803,46083,한국GM,말리부,올뉴말리부(2017),1.5 터보 LT,490719.0,0,490719,,"Front bumper:repair,coating"
as-0078816,46091,현대,G80,제네시스(14),G330 Premium,682329.0,0,682329,Rear bumper,"Bumper:coating,exchange"
as-0078824,46097,현대,쏘나타,LF 쏘나타,2.0 LPI,372758.0,0,372758,Front fender,Side mirror:exchange
as-0078867,46130,기아,모닝,올뉴모닝(15),럭셔리,329797.0,0,329797,Front bumper,"Front bumper:repair,coating"
as-0078970,46201,현대,그랜저,HG그랜져,HG 300,339598.0,0,339598,Front bumper,"Front bumper:sheet_metal,exchange,coating"
as-0078980,46207,현대,G80,제네시스(14),G330 Premium,682399.0,0,682399,,"Bumper:coating,exchange"
as-0079031,46248,현대,엑센트,엑센트(15),모던(1.4DOHC),283946.0,0,283946,Front bumper,"Front bumper:repair,coating"
as-0079047,46262,현대,싼타페,싼타페(15),디젤2.0  익스 스페셜,403713.0,0,403713,Front bumper,"Front bumper:repair,coating"
as-0079090,46289,현대,싼타페,싼타페(15),디젤2.0  프리미엄,418970.0,0,418970,Front bumper,"Front bumper:repair,coating"
as-0079139,46332,현대,아반떼,아반떼AD(16),1.6 GDI 모던,317859.0,0,317859,,"Bumper:coating,exchange"
as-0079166,46351,한국GM,스파크,스파크(마티즈크리에이티브),LT,341055.0,0,341055,Wheel,"Front bumper:repair,coating"
as-0079170,46353,현대,싼타페,싼타페TM(18),디젤2.0,488467.0,0,488467,Front bumper,"Front bumper:repair;Bumper:coating,exchange"
as-0079205,46377,한국GM,스파크,스파크(마티즈크리에이티브),GROOVE,276986.0,0,276986,Front bumper,"Front bumper:repair,coating"
as-0079221,46390,현대,그랜저,HG그랜져,HG 240,377396.0,0,377396,Rear bumper,"Front bumper:repair,coating"
as-0079243,46407,현대,그랜저,그랜져IG(17),가솔린 2.4 프리미엄 스페셜,483625.0,0,483625,,"Front bumper:repair,coating"
as-0079283,46432,현대,쏘나타,LF 쏘나타,2.0 CVVL SMART,469309.0,0,469309,,"Bumper:coating,exchange"
as-0079288,46435,현대,쏘나타,LF 쏘나타,2.0 LPI,348179.0,0,348179,,"Bumper:coating,exchange"
as-0079299,46442,한국GM,스파크,스파크(마티즈크리에이티브),LT,338555.0,0,338555,Front bumper,"Front bumper:repair,coating"
as-0079300,46443,현대,엑센트,엑센트(15),스마트(1.4DOHC),281586.0,0,281586,Front bumper,"Front bumper:repair,coating"
as-0079318,46456,르노삼성,SM3,뉴SM3(2012),RE,380968.0,0,380968,"Rear bumper,Trunk lid","Front bumper:repair,coating"
as-0079330,46465,현대,베라크루즈,베라크루즈,380VX(가솔린),340367.0,0,340367,,"Front bumper:repair,coating"
as-0079399,46514,현대,쏘나타,쏘나타(19),G2.0,476629.0,0,476629,Front bumper,"Bumper:coating,repair"
as-0079458,46555,현대,아반떼,아반떼AD(16),1.6 GDI 모던,726067.0,0,726067,Front bumper,Front bumper:repair;Bumper:coating
as-0079502,46591,현대,EQ900,EQ900,3.8 GDI 프레스티지,24070.0,390000,414070,,Wheel:exchange
as-0079527,46610,쌍용,티볼리,티볼리,LX (가솔린 최고급형),354136.0,0,354136,Wheel,"Front bumper:repair,coating"
as-0079579,46646,현대,G80,G80(16),3.3 럭셔리,461523.0,0,461523,,"Front bumper:repair,coating"
as-0079590,46656,현대,EQ900,EQ900,3.8 GDI 프레스티지,127230.0,792000,919230,,Wheel:exchange;Wheel:exchange
as-0079672,46714,르노삼성,QM6,QM6,LE,513559.0,0,513559,,"Front bumper:repair,coating"
as-0079676,46718,현대,그랜저,HG그랜져,HG 300,422517.0,0,422517,,"Front bumper:repair,coating"
as-0079688,46728,현대,G80,G80(16),3.3 프리미엄 럭셔리,92500.0,879000,971500,,Wheel:exchange;Wheel:exchange
as-0079691,46731,현대,그랜저,그랜져IG(17),디젤 2.2 프리미엄,403168.0,0,403168,"Front door,Front fender","Front bumper:repair,coating"
as-0079723,46753,현대,쏘나타,LF 쏘나타,2.0 LPI,754997.0,0,754997,"Front fender,Front bumper",Front bumper:repair;Bumper:coating
as-0079731,46758,현대,그랜저,그랜져IG(17),가솔린 2.4 프리미엄 스페셜,563927.0,0,563927,Front bumper,"Front bumper:repair,coating"
as-0079748,46771,기아,쏘렌토,올뉴쏘렌토,R2.0 디젤 노블레스,712549.0,0,712549,"Front door,Front bumper,Front fender","Bumper:coating,exchange"
as-0079772,46788,현대,아이오닉,아이오닉,N,434536.0,0,434536,,"Front bumper:repair,coating"
as-0079773,46789,기아,모닝,올뉴모닝(17),디럭스,397106.0,0,397106,Front bumper,"Front bumper:repair,coating"
